change                             ,fim_type       ,steering_success ,mutation          ,typechecks_before ,typechecks_after ,model            ,lang ,interval
"['bytes', 'Signature']"           ,Signature      ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['""', 'Application']"            ,Application    ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['tp', 'bool']"                   ,bool           ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'Market']"                ,Coin           ,False            ,delete            ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Bot', 'Bot']"                   ,Client         ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Union', 'Physics']"             ,Entity         ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Physics', 'Entity']"            ,Entity         ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Union', 'Bool']"                ,bool           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Market']"                ,Coin           ,False            ,delete            ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Optional', 'Optional']"         ,UUID           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['T', 'T']"                       ,Model          ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"[""'"", 'Dataset']"               ,Dataset        ,True             ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['dict', 'Options']"              ,Options        ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['bytes', 'KeyId']"               ,KeyId          ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Temp', 'Temp']"                 ,Path           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['typing', 'Sub']"                ,ST             ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Dict']"                  ,Dict           ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['""', 'Application']"            ,Application    ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Union', '[']"                   ,tuple          ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Text']"                  ,Text           ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['torch', 'Tensor']"              ,Tensor         ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Union', 'Union']"               ,tuple          ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['T', 'TD']"                      ,TD             ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['tuple', 'Trivia']"              ,Trivia         ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Row', 'Row']"                   ,DataPoint      ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Any', 'Any']"                   ,object         ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Any', 'Any']"                   ,object         ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['torch', 'Tensor']"              ,Tensor         ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['list', 'List']"                 ,T              ,False            ,delete            ,True              ,False            ,starcoderbase-1b ,py   ,       5
"['Distribution', 'Normal']"       ,Normal         ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['typing', 'TD']"                 ,TD             ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['""', 'Node']"                   ,Node           ,True             ,delete            ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Exponent', 'Exponent']"         ,Distribution   ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Tuple', 'Tensor']"              ,Tensor         ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['dict', 'dict']"                 ,Dict           ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Exception', 'Exception']"       ,None           ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'Text']"                  ,Text           ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Token', 'Token']"               ,Anchor         ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['dict', 'Config']"               ,Config         ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Module', 'Module']"             ,Model          ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Dict', 'Dict']"                 ,Output         ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Traceback', 'Traceback']"       ,None           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Calendar', 'Component']"        ,Component      ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['List', 'List']"                 ,Container      ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['List', 'Container']"            ,Container      ,True             ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Calendar', 'Calendar']"         ,Component      ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['C', 'C']"                       ,Base           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['t', 't']"                       ,type           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['t', 't']"                       ,type           ,False            ,delete            ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['List', 'List']"                 ,Individual     ,False            ,delete            ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Optional', 'Optional']"         ,str            ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Optional']"               ,str            ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Send', 'Receive']"              ,Receive        ,True             ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'int']"                    ,int            ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Type', 'Block']"                ,Block          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Type', 'str']"                  ,str            ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'float']"                  ,int            ,False            ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'dict']"                   ,dict           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'float']"                  ,float          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['signal', '<|endoftext|>']"      ,int            ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['inputs', 'inputs']"             ,Info           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'CommandHandler']"         ,CommandHandler ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,Exception      ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Callable']"               ,Any            ,False            ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Command']"                ,Command        ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"[""'t"", '<|endoftext|>']"        ,Solution       ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'dict']"                   ,dict           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Track', 'Serializable']"        ,Serializable   ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['serial', 'serial']"             ,dict           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['typing', 'utils']"              ,Info           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['types', 'models']"              ,Info           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Optional']"               ,bool           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['t', 't']"                       ,RequestType    ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'float']"                  ,float          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Repo']"                   ,Repo           ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'float']"                  ,float          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Injector']"               ,Handler        ,False            ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Token']"                  ,Token          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Embedding']"              ,Embedding      ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['z', 'z']"                       ,Any            ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Any']"                    ,Any            ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Token']"                  ,Token          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Path']"                   ,Path           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Token']"                  ,Token          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Injector', 'Handler']"          ,Handler        ,True             ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Response']"               ,Response       ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Path', 'Path']"                 ,Dict           ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Type', 'object']"               ,type           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Path']"                   ,Path           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Union']"                  ,Path           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Callable']"               ,bool           ,False            ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Router']"                 ,Router         ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Settings']"               ,Settings       ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Response']"               ,ResponseType   ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Injector', 'Injector']"         ,Settings       ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,bytes          ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Token', 'Token']"               ,Embedding      ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'bool']"                   ,bool           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Checksum']"               ,Checksum       ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Text']"                  ,Text           ,True             ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,UUID           ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Exception']"              ,Exception      ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Message', 'Message']"           ,Scope          ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Flow']"                   ,Flow           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', '[']"                      ,list           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['str', 'Language']"              ,UUID           ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['models', 'models']"             ,User           ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Endpoint']"               ,Endpoint       ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Test']"                   ,Flask          ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Model']"                  ,Model          ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Result']"                 ,Result         ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['typing', 'Model']"              ,Model          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Go', 'Graph']"                  ,Graph          ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Token', 'Token']"               ,Embedding      ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Exception']"              ,Exception      ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['""', 'Owner']"                  ,Owner          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Dict', 'Dict']"                 ,Text           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['Receive', 'Receive']"           ,Send           ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Receive', 'Receive']"           ,Message        ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Endpoint']"               ,Endpoint       ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'list']"                   ,list           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Config']"                 ,Config         ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,list           ,False            ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Union', 'dict']"                ,tuple          ,False            ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'bytes']"                  ,bytes          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Raw', 'Raw']"                   ,Batch          ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Config']"                 ,Config         ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'None']"                   ,None           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'App']"                    ,App            ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Array']"                  ,Array          ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'List']"                   ,bytes          ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Item']"                   ,Item           ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Config']"                 ,Config         ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Backup']"                 ,Coordinator    ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Array']"                  ,Array          ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Asset']"                  ,Asset          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Timestamp', 'Timestamp']"       ,Asset          ,False            ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Server']"                 ,Server         ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Watcher']"                ,Watcher        ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Dict', 'Result']"               ,Result         ,True             ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['Any', 'object']"                ,object         ,True             ,delete_vars_types ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'JSON']"                   ,JSON           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Module']"                 ,Module         ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Optional']"               ,JSON           ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Event']"                  ,Event          ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['""', 'Item']"                   ,Session        ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'JSON']"                   ,JSON           ,True             ,delete_vars_types ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'TP']"                     ,TP             ,True             ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'User']"                   ,UserProfile    ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'sdl']"                    ,TD             ,False            ,delete_vars_types ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'float']"                  ,float          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Send']"                   ,Send           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['str', 'str']"                   ,float          ,False            ,types             ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Token']"                  ,Token          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'User']"                   ,User           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'bool']"                   ,bool           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Token']"                  ,Token          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,str            ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'T']"                      ,T              ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'int']"                    ,int            ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'deque']"                  ,deque          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'int']"                    ,int            ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Receive']"                ,Receive        ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Embedding']"              ,Embedding      ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'int']"                    ,int            ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,str            ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Dict', 'Dict']"                 ,Any            ,False            ,types             ,True              ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'list']"                   ,list           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,str            ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'dict']"                   ,dict           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'bool']"                   ,bool           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'bytes']"                  ,bytes          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Display']"                ,Display        ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Any']"                    ,Any            ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Any']"                    ,Any            ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'dict']"                   ,dict           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Path']"                   ,Path           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'dict']"                   ,dict           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Area']"                   ,Area           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Entity']"                 ,Entity         ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'list']"                   ,list           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Direction']"              ,Direction      ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Video']"                  ,Path           ,False            ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Command']"                ,Command        ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'bool']"                   ,bool           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Embedding']"              ,Embedding      ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'list']"                   ,list           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Token']"                  ,Token          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Embedding']"              ,Embedding      ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Type', 'Type']"                 ,Block          ,False            ,types             ,False             ,False            ,starcoderbase-1b ,py   ,       5
"['__', 'Video']"                  ,Video          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'float']"                  ,float          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'Send']"                   ,Send           ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'bytes']"                  ,bytes          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['Optional', 'Mount']"            ,Mount          ,True             ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,Exception      ,False            ,types             ,False             ,True             ,starcoderbase-1b ,py   ,       5
"['__', 'str']"                    ,Path           ,False            ,types             ,False             ,False            ,starcoderbase-1b ,py   ,       5
