,prompt_seed,is_correct,completion,gold,input n,layernum
390,16,True_First,a,e,19,10
391,16,True_First,b,e,22,18
392,16,True_Last,f,e,24,19
393,16,False,f,e,26,24
394,16,True_First,b,e,27,18
395,16,False,d,e,28,12
396,16,True_First,d,e,30,12
397,16,True_First,d,e,31,12
398,16,True_First,d,e,32,12
399,16,True_First,d,e,33,12
400,16,True_First,d,e,34,12
401,16,True_First,d,e,35,12
402,16,True_First,d,e,36,12
403,16,True_First,d,e,37,12
404,16,True_First,d,e,38,12
405,16,True_First,d,e,39,12
406,16,True_First,f,e,40,18
407,16,True_First,f,e,41,18
408,16,True_First,f,e,42,18
409,16,True_First,f,e,43,18
410,16,True_First,f,e,44,18
411,16,True_First,f,e,45,18
412,16,True_First,f,e,46,18
413,16,True_First,f,e,47,18
414,16,True_First,f,e,48,18
415,16,True_First,f,e,49,18
416,17,True_First,a,f,28,10
417,17,True_First,e,f,31,18
418,17,True_First,e,f,32,18
419,17,True_First,e,f,36,18
420,17,True_First,e,f,38,18
421,17,True_First,b,f,40,18
422,17,True_First,b,f,41,18
423,17,True_First,b,f,42,17
424,17,True_First,b,f,43,18
425,17,True_First,b,f,44,18
426,17,True_First,b,f,46,18
427,17,True_First,b,f,48,18
428,17,True_First,b,f,49,18
429,18,True_First,e,a,35,18
430,18,True_First,e,a,36,18
431,18,True_First,e,a,38,18
432,18,True_First,c,a,40,18
433,18,True_First,c,a,41,18
434,18,True_First,c,a,42,18
435,18,True_First,c,a,44,18
436,18,True_First,c,a,45,18
437,18,True_First,c,a,46,18
438,18,True_First,c,a,47,18
439,18,True_First,c,a,48,18
440,18,True_First,c,a,49,18
441,19,True_First,a,b,14,10
442,19,True_First,a,b,16,10
443,19,True_First,a,b,18,10
444,19,True_First,a,b,19,10
445,19,True_Last,a,b,21,10
446,19,True_First,f,b,24,18
447,19,False,a,b,26,10
448,19,True_First,f,b,27,18
449,19,True_First,f,b,28,18
450,19,True_First,f,b,29,18
451,19,True_First,d,b,30,12
452,19,True_First,d,b,31,17
453,19,True_First,d,b,32,12
454,19,True_First,d,b,33,12
455,19,True_First,d,b,34,12
456,19,True_First,d,b,35,12
457,19,True_First,d,b,36,12
458,19,True_First,d,b,37,12
459,19,True_First,d,b,38,12
460,19,True_First,d,b,39,12
461,19,True_First,e,b,40,18
462,19,True_First,e,b,41,21
463,19,True_First,e,b,42,18
464,19,True_First,e,b,43,22
465,19,True_First,e,b,44,19
466,19,True_First,e,b,45,21
467,19,True_First,e,b,46,18
468,19,True_First,e,b,47,18
469,19,True_First,e,b,48,18
470,19,True_First,e,b,49,18
