,table_len,seed,is_correct,first_or_last_match,out,gold,func(n),earliest_layer
214,9,0,True,NA,j,j,14,18
215,9,0,True,NA,j,j,15,18
216,9,0,True,NA,j,j,16,20
217,9,0,True,NA,j,j,17,18
218,9,0,True,NA,j,j,18,21
219,9,0,True,NA,j,j,19,18
220,9,0,True,NA,j,j,20,18
221,9,0,True,NA,j,j,21,21
222,9,0,True,NA,j,j,22,20
223,9,0,True,NA,j,j,23,18
224,9,0,True,NA,j,j,24,21
225,9,0,True,NA,j,j,25,20
226,9,0,True,NA,j,j,26,21
227,9,0,True,NA,j,j,27,21
228,9,0,True,NA,j,j,28,21
229,9,0,True,NA,j,j,29,18
230,9,0,True,NA,j,j,30,18
231,9,0,False,Match_First_Digit_False_Task,a,j,31,10
232,9,0,False,Match_First_Digit_False_Task,a,j,32,10
233,9,0,True,NA,j,j,33,18
234,9,0,True,NA,j,j,34,21
235,9,0,True,NA,j,j,35,21
236,9,0,False,Match_First_Digit_False_Task,a,j,36,10
237,9,0,True,NA,j,j,37,21
238,9,0,False,Match_First_Digit_False_Task,a,j,38,10
239,9,0,True,NA,j,j,39,21
240,9,0,False,Match_First_Digit_False_Task,b,j,40,18
241,9,0,False,Match_First_Digit_False_Task,b,j,41,18
242,9,0,False,Match_First_Digit_False_Task,b,j,42,18
243,9,0,False,Match_First_Digit_False_Task,b,j,43,18
244,9,0,True,NA,j,j,44,21
245,9,0,True,NA,j,j,45,21
246,9,0,False,Match_First_Digit_False_Task,b,j,46,18
247,9,0,False,Match_Last_Digit_False_Task,e,j,47,22
248,9,0,False,Match_First_Digit_False_Task,b,j,48,18
249,9,0,False,Match_First_Digit_False_Task,b,j,49,18
250,9,1,True,NA,g,g,0,18
251,9,1,True,NA,h,h,1,18
252,9,1,True,NA,b,b,2,17
253,9,1,True,NA,d,d,3,12
254,9,1,True,NA,f,f,4,18
255,9,1,True,NA,j,j,5,18
256,9,1,True,NA,c,c,6,18
257,9,1,True,NA,i,i,7,18
258,9,1,True,NA,a,a,8,10
259,9,1,True,NA,e,e,9,18
260,9,1,True,NA,e,e,10,18
261,9,1,True,NA,e,e,11,18
262,9,1,True,NA,e,e,12,18
263,9,1,True,NA,e,e,13,18
264,9,1,True,NA,e,e,14,18
265,9,1,True,NA,e,e,15,18
266,9,1,False,Neither_False_Task,a,e,16,10
267,9,1,True,NA,e,e,17,18
268,9,1,False,Match_Last_Digit_False_Task,a,e,18,10
269,9,1,True,NA,e,e,19,18
270,9,1,True,NA,e,e,20,18
271,9,1,True,NA,e,e,21,19
272,9,1,True,NA,e,e,22,19
273,9,1,True,NA,e,e,23,19
274,9,1,True,NA,e,e,24,23
275,9,1,True,NA,e,e,25,19
276,9,1,False,Neither_False_Task,a,e,26,10
277,9,1,False,Neither_False_Task,j,e,27,22
278,9,1,False,Match_Last_Digit_False_Task,a,e,28,10
279,9,1,True,NA,e,e,29,18
280,9,1,False,Match_First_Digit_False_Task,d,e,30,12
281,9,1,False,Match_First_Digit_False_Task,d,e,31,12
282,9,1,False,Match_First_Digit_False_Task,d,e,32,12
283,9,1,False,Match_First_Digit_False_Task,d,e,33,12
284,9,1,False,Match_First_Digit_False_Task,d,e,34,12
285,9,1,False,Match_First_Digit_False_Task,d,e,35,12
286,9,1,False,Match_First_Digit_False_Task,d,e,36,12
287,9,1,False,Match_First_Digit_False_Task,d,e,37,12
288,9,1,False,Match_First_Digit_False_Task,d,e,38,12
289,9,1,False,Match_First_Digit_False_Task,d,e,39,12
290,9,1,False,Match_First_Digit_False_Task,f,e,40,18
291,9,1,False,Match_First_Digit_False_Task,f,e,41,18
292,9,1,False,Match_First_Digit_False_Task,f,e,42,18
293,9,1,False,Match_First_Digit_False_Task,f,e,43,18
294,9,1,False,Match_First_Digit_False_Task,f,e,44,18
295,9,1,False,Match_First_Digit_False_Task,f,e,45,18
296,9,1,False,Match_First_Digit_False_Task,f,e,46,18
297,9,1,False,Match_First_Digit_False_Task,f,e,47,18
298,9,1,False,Match_First_Digit_False_Task,f,e,48,18
299,9,1,False,Match_First_Digit_False_Task,f,e,49,18
300,12,0,True,NA,b,b,0,16
301,12,0,True,NA,i,i,1,18
302,12,0,True,NA,h,h,2,18
303,12,0,True,NA,l,l,3,16
304,12,0,True,NA,j,j,4,18
305,12,0,True,NA,f,f,5,18
306,12,0,True,NA,e,e,6,18
307,12,0,True,NA,m,m,7,18
308,12,0,True,NA,g,g,8,18
309,12,0,True,NA,k,k,9,16
310,12,0,True,NA,a,a,10,10
311,12,0,True,NA,c,c,11,16
312,12,0,True,NA,d,d,12,12
313,12,0,True,NA,d,d,13,12
314,12,0,True,NA,d,d,14,12
315,12,0,True,NA,d,d,15,14
316,12,0,True,NA,d,d,16,15
317,12,0,True,NA,d,d,17,12
318,12,0,True,NA,d,d,18,12
319,12,0,True,NA,d,d,19,12
320,12,0,True,NA,d,d,20,12
321,12,0,True,NA,d,d,21,12
322,12,0,True,NA,d,d,22,12
323,12,0,True,NA,d,d,23,12
324,12,0,True,NA,d,d,24,12
325,12,0,True,NA,d,d,25,12
326,12,0,True,NA,d,d,26,15
327,12,0,True,NA,d,d,27,12
328,12,0,True,NA,d,d,28,12
329,12,0,True,NA,d,d,29,12
330,12,0,True,NA,d,d,30,12
331,12,0,True,NA,d,d,31,12
332,12,0,True,NA,d,d,32,12
333,12,0,True,NA,d,d,33,12
334,12,0,True,NA,d,d,34,12
335,12,0,True,NA,d,d,35,12
336,12,0,True,NA,d,d,36,12
337,12,0,True,NA,d,d,37,12
338,12,0,False,Match_First_Digit_False_Task,l,d,38,18
339,12,0,True,NA,d,d,39,12
340,12,0,False,Match_First_Digit_False_Task,j,d,40,18
341,12,0,False,Match_First_Digit_False_Task,j,d,41,18
342,12,0,False,Match_First_Digit_False_Task,j,d,42,18
343,12,0,False,Match_First_Digit_False_Task,j,d,43,18
344,12,0,True,NA,d,d,44,12
345,12,0,True,NA,d,d,45,12
346,12,0,False,Match_Last_Digit_False_Task,e,d,46,21
347,12,0,False,Match_First_Digit_False_Task,j,d,47,18
348,12,0,False,Match_First_Digit_False_Task,j,d,48,18
349,12,0,False,Match_First_Digit_False_Task,j,d,49,18
350,12,1,True,NA,i,i,0,18
351,12,1,True,NA,l,l,1,18
352,12,1,True,NA,a,a,2,10
353,12,1,True,NA,h,h,3,18
354,12,1,True,NA,j,j,4,18
355,12,1,True,NA,f,f,5,17
356,12,1,True,NA,c,c,6,18
357,12,1,True,NA,d,d,7,12
358,12,1,True,NA,b,b,8,18
359,12,1,True,NA,g,g,9,18
360,12,1,True,NA,m,m,10,18
361,12,1,True,NA,e,e,11,18
362,12,1,True,NA,k,k,12,17
363,12,1,True,NA,k,k,13,17
364,12,1,True,NA,k,k,14,17
365,12,1,True,NA,k,k,15,17
366,12,1,True,NA,k,k,16,18
367,12,1,True,NA,k,k,17,18
368,12,1,True,NA,k,k,18,18
369,12,1,True,NA,k,k,19,18
370,12,1,True,NA,k,k,20,18
371,12,1,True,NA,k,k,21,18
372,12,1,True,NA,k,k,22,18
373,12,1,True,NA,k,k,23,18
374,12,1,True,NA,k,k,24,18
375,12,1,True,NA,k,k,25,18
376,12,1,True,NA,k,k,26,18
377,12,1,True,NA,k,k,27,18
378,12,1,True,NA,k,k,28,18
379,12,1,True,NA,k,k,29,18
380,12,1,True,NA,k,k,30,18
381,12,1,False,Match_First_Digit_False_Task,h,k,31,18
382,12,1,True,NA,k,k,32,18
383,12,1,True,NA,k,k,33,18
384,12,1,True,NA,k,k,34,18
385,12,1,False,Match_First_Digit_False_Task,h,k,35,18
386,12,1,False,Match_First_Digit_False_Task,h,k,36,18
387,12,1,True,NA,k,k,37,18
388,12,1,False,Match_First_Digit_False_Task,h,k,38,18
389,12,1,False,Match_First_Digit_False_Task,h,k,39,18
390,12,1,False,Match_First_Digit_False_Task,j,k,40,18
391,12,1,False,Match_First_Digit_False_Task,j,k,41,18
392,12,1,False,Match_First_Digit_False_Task,j,k,42,18
393,12,1,False,Match_First_Digit_False_Task,j,k,43,18
394,12,1,True,NA,k,k,44,18
395,12,1,True,NA,k,k,45,18
396,12,1,False,Match_First_Digit_False_Task,j,k,46,18
397,12,1,False,Match_First_Digit_False_Task,j,k,47,18
398,12,1,False,Match_First_Digit_False_Task,j,k,48,18
399,12,1,False,Match_First_Digit_False_Task,j,k,49,18
